structure_number,nbi_year,state,county,latitude,longitude,year_built,material_code,material,design_code,design_type,num_spans,structure_length_m,deck_width_m,condition_rating,hwb_class,deck_area_m2,design_era
52 0036,2024,6,111,34.400708333333334,-118.827,1997,6,prestressed_concrete,6,other,2,45.4,23.8,5.0,HWB6,1080.52,seismic
52 0037,2024,6,111,34.40878055555555,-118.78779722222222,1940,2,concrete,6,other,17,259.2,25.0,5.0,HWB1,6480.0,conventional
52 0046,2024,6,111,34.14306944444444,-118.84919166666666,1968,2,concrete,5,other,2,10.1,32.9,,HWB5,332.29,conventional
52 0237,2024,6,111,34.17749166666666,-118.87624722222222,1962,2,concrete,6,other,4,52.4,37.2,5.0,HWB5,1949.28,conventional
52 0268E,2024,6,111,34.157158333333335,-118.82521944444444,1964,5,prestressed_concrete,5,other,4,95.3,28.7,7.0,HWB7,2735.11,conventional
52 0273,2024,6,111,34.16616388888889,-118.8376,1966,2,concrete,5,other,3,45.0,49.4,4.0,HWB5,2223.0,conventional
52 0274,2024,6,111,34.17180833333333,-118.84603888888888,1966,2,concrete,6,other,3,37.5,56.7,4.0,HWB5,2126.25,conventional
52 0282,2024,6,111,34.278866666666666,-118.66233611111112,1968,2,concrete,5,other,3,50.4,42.7,5.0,HWB5,2152.08,conventional
52 0283,2024,6,111,34.26809166666666,-118.63579444444446,1968,2,concrete,5,other,2,57.6,10.6,5.0,HWB5,610.56,conventional
52 0299,2024,6,111,34.281438888888886,-118.70917777777778,1968,2,concrete,5,other,2,42.0,48.8,5.0,HWB5,2049.6,conventional
52 0300,2024,6,111,34.28194444444444,-118.67883888888888,1968,6,prestressed_concrete,5,other,2,79.5,21.9,7.0,HWB5,1741.05,conventional
52 0301,2024,6,111,34.28199166666666,-118.68283333333332,1968,6,prestressed_concrete,5,other,2,80.4,9.8,7.0,HWB5,787.9200000000001,conventional
52 0302,2024,6,111,34.28134722222222,-118.69165277777778,1968,2,concrete,6,other,2,45.1,57.3,5.0,HWB5,2584.23,conventional
52 0303,2024,6,111,34.281419444444445,-118.70045,1968,6,prestressed_concrete,5,other,1,33.9,48.8,5.0,HWB3,1654.32,conventional
52 0304L,2024,6,111,34.23505,-118.84261666666666,1970,5,prestressed_concrete,5,other,1,43.3,19.5,7.0,HWB3,844.3499999999999,conventional
52 0304R,2024,6,111,34.23482777777778,-118.84239444444444,1970,5,prestressed_concrete,5,other,1,43.0,18.5,7.0,HWB3,795.5,conventional
52 0305L,2024,6,111,34.199797222222216,-118.857275,1970,5,prestressed_concrete,5,other,1,42.4,24.2,7.0,HWB3,1026.08,conventional
52 0305R,2024,6,111,34.19976111111111,-118.85686388888888,1970,5,prestressed_concrete,5,other,1,42.4,22.9,7.0,HWB3,970.96,conventional
52 0306L,2024,6,111,34.18131111111111,-118.86058055555554,1970,5,prestressed_concrete,5,other,1,41.5,19.0,7.0,HWB3,788.5,conventional
52 0306R,2024,6,111,34.18114722222222,-118.860175,1970,5,prestressed_concrete,5,other,1,43.4,22.2,7.0,HWB3,963.48,conventional
52 0307F,2024,6,111,34.17913055555555,-118.86106944444444,1970,2,concrete,5,other,3,59.0,11.9,5.0,HWB5,702.1,conventional
52 0307G,2024,6,111,34.17878888888889,-118.859875,1970,2,concrete,6,other,3,67.4,11.9,7.0,HWB5,802.0600000000001,conventional
52 0308L,2024,6,111,34.21143611111111,-118.84919444444444,1970,5,prestressed_concrete,5,other,1,39.0,23.8,7.0,HWB3,928.2,conventional
52 0308R,2024,6,111,34.21140277777778,-118.84879444444444,1970,5,prestressed_concrete,5,other,1,39.0,23.8,7.0,HWB3,928.2,conventional
52 0309,2024,6,111,34.281483333333334,-118.71804444444444,1969,2,concrete,5,other,2,50.6,58.9,5.0,HWB5,2980.34,conventional
52 0310L,2024,6,111,34.1902,-118.86225,1970,5,prestressed_concrete,5,other,1,44.6,22.0,7.0,HWB3,981.2,conventional
52 0310R,2024,6,111,34.19025277777777,-118.86191944444444,1970,5,prestressed_concrete,5,other,1,44.8,22.0,7.0,HWB3,985.6,conventional
52 0311,2024,6,111,34.22763611111111,-118.84743888888887,1970,6,prestressed_concrete,5,other,2,80.7,19.5,7.0,HWB5,1573.65,conventional
52 0312L,2024,6,111,34.24121111111111,-118.84015833333332,1970,6,prestressed_concrete,5,other,2,77.0,24.1,7.0,HWB5,1855.7,conventional
52 0312R,2024,6,111,34.241455555555554,-118.839725,1970,6,prestressed_concrete,5,other,2,70.9,18.4,7.0,HWB5,1304.56,conventional
52 0312S,2024,6,111,34.24158888888889,-118.83951666666668,1970,6,prestressed_concrete,5,other,2,63.0,7.3,7.0,HWB5,459.9,conventional
52 0313L,2024,6,111,34.21794722222222,-118.84981666666664,1970,5,prestressed_concrete,6,other,1,41.1,18.5,7.0,HWB3,760.35,conventional
52 0313R,2024,6,111,34.21790277777778,-118.84948055555554,1970,5,prestressed_concrete,6,other,1,39.3,18.5,7.0,HWB3,727.05,conventional
52 0314,2024,6,111,34.175936111111106,-118.85830555555556,1970,5,prestressed_concrete,6,other,1,39.9,46.6,7.0,HWB3,1859.34,conventional
52 0315G,2024,6,111,34.17701388888889,-118.85804166666668,1970,5,prestressed_concrete,6,other,1,41.5,11.9,7.0,HWB3,493.85,conventional
52 0316,2024,6,111,34.17646944444444,-118.861,1970,5,prestressed_concrete,6,other,1,39.5,46.3,7.0,HWB3,1828.85,conventional
52 0316K,2024,6,111,34.176002777777775,-118.8617361111111,1970,5,prestressed_concrete,6,other,1,46.1,7.3,7.0,HWB3,336.53000000000003,conventional
52 0317F,2024,6,111,34.17541111111111,-118.85841944444444,1970,2,concrete,5,other,10,317.5,11.9,5.0,HWB1,3778.25,conventional
52 0318,2024,6,111,34.20548333333333,-118.85162222222222,1970,6,prestressed_concrete,5,other,2,100.8,12.2,7.0,HWB5,1229.76,conventional
52 0319K,2024,6,111,34.266358333333336,-118.85133055555556,1970,2,concrete,5,other,2,51.3,7.3,7.0,HWB5,374.49,conventional
52 0319L,2024,6,111,34.26648888888889,-118.85112777777778,1970,2,concrete,5,other,2,53.6,18.4,5.0,HWB5,986.24,conventional
52 0319R,2024,6,111,34.266708333333334,-118.85080555555555,1970,2,concrete,5,other,2,53.6,23.5,5.0,HWB5,1259.6,conventional
52 0320L,2024,6,111,34.28236944444444,-118.75686944444443,1970,1,concrete,5,other,1,19.7,15.5,5.0,HWB3,305.35,conventional
52 0320R,2024,6,111,34.28203055555556,-118.75710833333332,1970,1,concrete,5,other,1,10.7,18.0,7.0,HWB3,192.6,conventional
52 0321L,2024,6,111,34.282358333333335,-118.72677777777778,1969,2,concrete,5,other,3,35.0,15.5,5.0,HWB5,542.5,conventional
52 0321R,2024,6,111,34.282044444444445,-118.72688611111111,1967,2,concrete,5,other,3,35.9,15.5,5.0,HWB5,556.4499999999999,conventional
52 0322L,2024,6,111,34.28236388888889,-118.73105555555556,1969,2,concrete,6,other,2,43.5,15.5,5.0,HWB5,674.25,conventional
52 0322R,2024,6,111,34.282044444444445,-118.73105277777778,1969,2,concrete,5,other,2,43.5,15.5,5.0,HWB5,674.25,conventional
52 0323L,2024,6,111,34.28236111111111,-118.73589444444444,1969,2,concrete,4,other,2,43.5,15.5,5.0,HWB5,674.25,conventional
52 0323R,2024,6,111,34.28205,-118.73590277777778,1969,2,concrete,4,other,2,43.5,15.5,5.0,HWB5,674.25,conventional
52 0324,2024,6,111,34.28136388888889,-118.67159722222225,1968,6,prestressed_concrete,5,other,2,67.9,12.2,7.0,HWB5,828.38,conventional
52 0325,2024,6,111,34.18303611111111,-118.89153333333334,1968,6,prestressed_concrete,6,other,3,72.8,20.7,7.0,HWB5,1506.9599999999998,conventional
52 0326L,2024,6,111,34.28236388888889,-118.76162222222224,1970,2,concrete,6,other,2,45.1,19.8,7.0,HWB5,892.98,conventional
52 0326R,2024,6,111,34.28201111111111,-118.761625,1970,2,concrete,5,other,2,46.2,19.2,7.0,HWB5,887.0400000000001,conventional
52 0327L,2024,6,111,34.282358333333335,-118.74409722222222,1969,2,concrete,4,other,2,45.7,19.8,5.0,HWB5,904.86,conventional
52 0327R,2024,6,111,34.28200833333333,-118.74409166666666,1969,2,concrete,4,other,2,45.7,19.5,5.0,HWB5,891.1500000000001,conventional
52 0329,2024,6,111,34.282675,-118.779025,1970,6,prestressed_concrete,5,other,2,81.0,26.2,5.0,HWB5,2122.2,conventional
52 0330L,2024,6,111,34.28191944444444,-118.86319444444445,1993,6,prestressed_concrete,6,other,2,58.5,13.4,7.0,HWB6,783.9,seismic
52 0330R,2024,6,111,34.28210555555555,-118.86276666666666,1993,6,prestressed_concrete,6,other,2,59.4,20.7,7.0,HWB6,1229.58,seismic
52 0331L,2024,6,111,34.28502222222222,-118.86451388888888,1993,6,prestressed_concrete,6,other,6,414.5,13.4,7.0,HWB2,5554.3,seismic
52 0331R,2024,6,111,34.285075,-118.8639861111111,1993,6,prestressed_concrete,6,other,8,538.6,13.4,7.0,HWB2,7217.240000000001,seismic
52 0332,2024,6,111,34.29362777777778,-118.842875,1993,6,prestressed_concrete,6,other,2,73.8,20.1,7.0,HWB6,1483.38,seismic
52 0334L,2024,6,111,34.292852777777775,-118.85773055555556,1993,5,prestressed_concrete,6,other,1,45.1,13.4,7.0,HWB4,604.34,seismic
52 0334R,2024,6,111,34.29229722222222,-118.85778888888888,1993,5,prestressed_concrete,6,other,1,53.3,13.4,7.0,HWB4,714.22,seismic
52 0339,2024,6,111,34.14661111111111,-118.84348055555554,1968,2,concrete,5,other,4,39.2,20.4,5.0,HWB5,799.68,conventional
52 0341,2024,6,111,34.27923333333333,-118.8707861111111,1970,5,prestressed_concrete,5,other,1,38.0,31.1,7.0,HWB3,1181.8,conventional
52 0343,2024,6,111,34.28142222222222,-118.70063611111112,1968,2,concrete,4,other,2,7.9,48.8,,HWB5,385.52,conventional
52 0346L,2024,6,111,34.28236944444444,-118.77314722222222,1970,5,prestressed_concrete,6,other,1,30.4,15.5,7.0,HWB3,471.2,conventional
52 0346R,2024,6,111,34.28204722222222,-118.77314166666666,1970,5,prestressed_concrete,6,other,1,30.4,16.2,7.0,HWB3,492.48,conventional
52 0347M,2024,6,111,34.149902777777775,-118.83263611111111,1968,2,concrete,5,other,2,6.1,26.8,,HWB5,163.48,conventional
52 0349,2024,6,111,34.15285,-118.81748333333331,1973,6,prestressed_concrete,6,other,2,73.1,18.7,7.0,HWB5,1366.9699999999998,conventional
52 0354L,2024,6,111,34.284324999999995,-118.79281666666668,1976,2,concrete,5,other,2,48.9,24.8,7.0,HWB6,1212.72,seismic
52 0354R,2024,6,111,34.283969444444445,-118.79309166666668,1976,2,concrete,5,other,2,50.5,20.3,7.0,HWB6,1025.15,seismic
52 0355L,2024,6,111,34.291125,-118.81058888888889,1976,2,concrete,5,other,2,43.6,11.7,6.0,HWB6,510.12,seismic
52 0355R,2024,6,111,34.29080277777778,-118.81064166666668,1976,2,concrete,5,other,2,45.3,11.6,7.0,HWB6,525.4799999999999,seismic
52 0368,2024,6,111,34.262727777777776,-118.84736388888888,1970,1,concrete,5,other,3,11.0,40.0,,HWB7,440.0,conventional
52 0387,2024,6,111,34.287552777777776,-118.79921666666668,1974,6,prestressed_concrete,5,other,2,81.9,8.5,7.0,HWB5,696.1500000000001,conventional
52 0401,2024,6,111,34.161094444444444,-118.82991388888888,1973,2,concrete,5,other,3,7.9,53.6,,HWB5,423.44000000000005,conventional
52 0411L,2024,6,111,34.17958333333333,-118.88386111111112,1982,2,concrete,6,other,10,80.5,42.1,7.0,HWB6,3389.05,seismic
